room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,baseline,,,0.875217494471747,9.676317223347928,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C1,2,10,0.8472386847754121,7.9271603233552215,0.474,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C2,2,20,0.8458049046471025,8.009586977075488,0.955,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C3,2,30,0.8467487777107167,8.088765371779953,4.613,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C4,3,10,0.8605007879098188,8.536472183654036,0.457,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C5,3,20,0.8585793402725421,8.504908763446926,0.979,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C6,3,30,0.8583716272296235,8.53317582969342,4.672,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C7,4,10,0.8690358175133511,9.355955439343532,0.465,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C8,4,20,0.8666601106912943,9.357199808839459,1.046,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8224-274384-0003,C9,4,30,0.8660024352536528,9.535466745020937,6.024,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,baseline,,,0.878492696153678,9.456723745157698,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C1,2,10,0.8430263781325645,6.163764865893819,0.874,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C2,2,20,0.8425781446123778,6.060543313761791,1.493,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C3,2,30,0.841542047152197,6.093339118944128,7.454,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C4,3,10,0.8580609091350849,7.585311693227793,0.761,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C5,3,20,0.8585850418671309,7.567438879691749,1.551,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C6,3,30,0.8574271154565466,7.63093443427461,5.85,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C7,4,10,0.8681977438404554,8.64985243659083,0.772,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C8,4,20,0.8690720746588922,8.663566906054047,1.602,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,61-70968-0027,C9,4,30,0.8684222147245704,8.730291396481547,5.447,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,baseline,,,0.8775407053612188,9.732386424765696,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C1,2,10,0.8468741839947902,6.319752341525472,1.448,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C2,2,20,0.8454941797546144,6.068080534596084,2.76,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C3,2,30,0.8456930921769984,6.042233198280128,7.829,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C4,3,10,0.860892695761392,8.390519034184091,1.431,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C5,3,20,0.8604265731972408,8.346880609148048,2.763,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C6,3,30,0.860610677497267,8.380170761845655,6.54,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C7,4,10,0.8687191737146133,9.00415226459012,1.495,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C8,4,20,0.8681436818902674,8.945500731573969,2.783,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,3570-5694-0006,C9,4,30,0.8679381647508395,8.981222382737714,6.993,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,baseline,,,0.9141895906059576,9.576290586039464,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C1,2,10,0.8716807931006816,6.549266416354645,0.499,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C2,2,20,0.8699098675120797,6.541761491094435,1.027,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C3,2,30,0.865897779001198,6.6403990831536595,4.476,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C4,3,10,0.8927198656047176,8.263925748648264,0.512,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C5,3,20,0.8919073531762363,8.364584814925625,1.161,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C6,3,30,0.8883553852589087,8.430342173751358,4.861,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C7,4,10,0.9052480038990794,9.17889815868125,0.561,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C8,4,20,0.9040993102569128,9.314689609022047,0.982,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,6829-68769-0012,C9,4,30,0.9005417497481449,9.465282323416016,4.539,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,baseline,,,0.9950952637459234,19.998861103790734,,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C1,2,10,0.9515504817253977,7.404398790702476,1.984,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C2,2,20,0.9464504133903177,6.559152279319578,3.943,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C3,2,30,0.9452237748544824,6.317697542485597,9.653,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C4,3,10,0.9733179244596961,11.945752991902767,2.021,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C5,3,20,0.9694563932621054,11.404378036797532,4.256,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C6,3,30,0.9680280852547366,11.108549205758319,8.599,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C7,4,10,0.9868212758495531,15.269797353421863,2.103,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C8,4,20,0.9851770873602779,14.758091756678605,4.046,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8230-279154-0037,C9,4,30,0.9842813103559256,14.474013394509274,9.536,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,baseline,,,0.993036585482167,18.473929155611444,,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C1,2,10,0.9434613054750536,7.528569426316832,1.059,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C2,2,20,0.9388789042858812,6.985348430677881,2.897,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C3,2,30,0.9366981020247391,6.73595789562738,13.313,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C4,3,10,0.9664604765794126,10.361731899422534,1.07,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C5,3,20,0.9624997682339497,9.999957546462836,2.036,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C6,3,30,0.9622037998619015,9.91319826061506,5.504,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C7,4,10,0.9796384474750969,14.031262946109331,1.059,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C8,4,20,0.9782151155430417,13.423159954009813,2.001,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,2830-3980-0007,C9,4,30,0.9773024361278664,13.049371789166722,6.538,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,baseline,,,0.9969251799116542,21.613105593881503,,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C1,2,10,0.9502474680359937,7.4208844263804155,0.686,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C2,2,20,0.9462267748658009,5.57044800545314,1.103,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C3,2,30,0.9426965066127894,5.006733145175416,6.607,False,False,
